"№ Д/О";"Наименование счета";"Номер счета";"Сумма комиссии"
"Дополнительный офис в г.Нижневартовск";"ООО ""СЕРВИСНОЕ ПРЕДПРИЯТИЕ НИЖНЕВАРТОВСК-СЕРВИС""";"40702810708020000644";"225"
"Дополнительный офис в г.Нижневартовск";"ООО ""СЕРВИСНОЕ ПРЕДПРИЯТИЕ НИЖНЕВАРТОВСК-СЕРВИС""";"40702810708020000644";"600"
"Дополнительный офис в г.Нижневартовск";"ООО ""СЕРВИСНОЕ ПРЕДПРИЯТИЕ НИЖНЕВАРТОВСК-СЕРВИС""";"40702810708020000644";"600"
"Дополнительный офис в г.Нижневартовск";"ООО ""РОСМОНТАЖАВТОМАТИКА""";"40702810808020000719";"525"
"Дополнительный офис в г.Нижневартовск";"ООО ""РОСМОНТАЖАВТОМАТИКА""";"40702810808020000719";"750"
"Дополнительный офис в г.Нижневартовск";"ООО ""РОСМОНТАЖАВТОМАТИКА""";"40702810808020000719";"750"
"Дополнительный офис в г.Нижневартовск";"ООО ""НИЖНЕВАРТОВСКЭНЕРГОСВЯЗЬ""";"40702810108020000765";"150"
"Дополнительный офис в г.Нижневартовск";"ООО ""НИЖНЕВАРТОВСКЭНЕРГОСВЯЗЬ""";"40702810108020000765";"150"
"Дополнительный офис в г.Нижневартовск";"ООО ""НИЖНЕВАРТОВСКЭНЕРГОСВЯЗЬ""";"40702810108020000765";"150"
"Дополнительный офис в г.Нижневартовск";"ООО ""ИТЦ ""ЭЛЕКТРОКОМ""";"40702810608020000773";"1025"
"Дополнительный офис в г.Нижневартовск";"ООО ""ИТЦ ""ЭЛЕКТРОКОМ""";"40702810608020000773";"1250"
"Дополнительный офис в г.Нижневартовск";"ООО ""ИТЦ ""ЭЛЕКТРОКОМ""";"40702810608020000773";"1250"
"Дополнительный офис в г.Нижневартовск";"ООО ""ГОРЭЛЕКТРОСЕТЬ-ПРОЕКТ""";"40702810908020000774";"125"
"Дополнительный офис в г.Нижневартовск";"ООО ""ГОРЭЛЕКТРОСЕТЬ-ПРОЕКТ""";"40702810908020000774";"125"
"Дополнительный офис в г.Новый Уренгой";"ООО ""Юнимоторс""";"40702810206020001475";"100"
"Дополнительный офис в г.Ноябрьск";"Ноябрьский филиал АО ""ЭК ""Восток""";"40702810004020001596";"8800"
"Дополнительный офис в г.Ноябрьск";"ООО ""Новые окна""";"40702810504020001465";"800"
"Дополнительный офис в г.Ноябрьск";"ООО ""ЭОП""";"40702810904020001560";"325"
"Дополнительный офис в г.Ноябрьск";"АО ""РСК Ямала""";"40702810104020001577";"1450"
"Дополнительный офис в г.Ноябрьск";"Ноябрьский филиал АО ""ЭК ""Восток""";"40702810804020001592";"13650"
"Дополнительный офис в г.Ноябрьск";"Ноябрьский филиал АО ""ЭК ""Восток""";"40702810704020001595";"4075"
"Дополнительный офис в г.Ноябрьск";"ООО ""ЭВЕРЕСТ""";"40702810904020001285";"1200"
"Дополнительный офис в г.Ноябрьск";"ООО ТУРИСТИЧЕСКОЕ АГЕНТСТВО ""АБСОЛЮТ ТУР""";"40702810804020001314";"600"
"Дополнительный офис в г.Ноябрьск";"ФИЛИАЛ АО ""ЕРИЦ ЯНАО"" В ГОРОДЕ НОЯБРЬСКЕ";"40702810304020001335";"1450"
"Дополнительный офис в г.Ноябрьск";"ФИЛИАЛ АО ""ЕРИЦ ЯНАО"" В ГОРОДЕ НОЯБРЬСКЕ";"40702810804020001343";"12000"
"Дополнительный офис в г.Ноябрьск";"ФИЛИАЛ АО ""ЕРИЦ ЯНАО"" В ГОРОДЕ НОЯБРЬСКЕ";"40821810404020000010";"4300"
"Дополнительный офис в г.Ноябрьск";"ФИЛИАЛ АО ""ЯМАЛКОММУНЭНЕРГО"" В ПУРОВСКОМ РАЙОНЕ ""ТЕПЛО""";"40702810604020001365";"300"
"Дополнительный офис в г.Ноябрьск";"ФИЛИАЛ АО ""ЯМАЛКОММУНЭНЕРГО"" В Г ГУБКИНСКИЙ";"40702810204020001367";"650"
"Дополнительный офис в г.Ноябрьск";"ФИЛИАЛ АО ""ЯМАЛКОММУНЭНЕРГО"" В НАДЫМСКОМ РАЙОНЕ";"40702810804020001369";"8200"
"Дополнительный офис в г.Ноябрьск";"ООО ""НОЯБРЬСКАЯ СЕРВИСНАЯ КОМПАНИЯ""";"40702810504020001423";"400"
"Дополнительный офис в г.Ноябрьск";"Филиал АО ""Ямалкоммунэнерго"" в Шурышкарском районе";"40702810304020001461";"1350"
"Дополнительный офис в г.Тобольск";"ООО ""ИМПЕРИЯ""";"40702810002020001585";"475"
"Дополнительный офис в г.Тобольск";"ООО ""ТРАНСАВТО""";"40702810902020001245";"975"
"Дополнительный офис в г.Тобольск";"ТЮМЕНЬЭНЕРГОСБЫТ - ФИЛИАЛ АО ""ЭК ""ВОСТОК""";"40702810602020001448";"575"
"Дополнительный офис в п.Излучинск";"ООО ""Торговая Компания ""Верона""";"40702810503020001453";"550"
"Дополнительный офис в п.Излучинск";"ООО ""Глобал Сервис""";"40702810103020001468";"1150"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""Н(Ч)ОП ЦБ ""Охрана по Тюменской области""";"40702810400020001462";"375"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""Аркада""";"40702810300020001449";"250"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""Салехардский комбинат""";"40702810000020001477";"2325"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ЦБ ""Защита""";"40702810400020001488";"150"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""Элит Кар Сервис""";"40702810300020001494";"2475"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""Маркетинг ойл""";"40702810200020001523";"1300"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""КОСА""";"40702810800020001525";"475"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ДНТ ""Березка""";"40703810600020000110";"100"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""СибирьСтройТорг""";"40702810800020001538";"50"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ИЦАПК ТО""";"40702810100020001539";"225"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""Дом Игрушки""";"40702810500020001540";"375"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ЦЭС """;"40702810000020001545";"16875"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"Тепло Тюмени- филиал Публичного акционерного общества ""Сибирско-Уралькая энергетическая компания""";"40702810600020001550";"15700"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО""Промтехсервис""";"40702810900020001551";"25"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ГРАНД МЕБЕЛЬ ТЮМЕНЬ""";"40702810700020001573";"1825"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"Тюменский областной благотворительный Фонд ""имени Поликарпа Петровича Прокопьева""";"40703810200020000112";"50"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""Внедренческий центр ""ТРИУМФ""";"40702810600020001576";"975"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""Хостел""";"40702810200020001581";"50"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ПРОМИНЖИНИРИНГ""";"40702810800020001583";"925"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""Тюмень Теплосервис""";"40702810700020001586";"300"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"Ассоциация ""Тепло Сибири""";"40703810500020000113";"300"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"Акционерное общество ""Ямалкоммунэнерго""";"40702810000020001587";"2050"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"СНТ ""Ольховое""";"40703810800020000114";"50"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ТСН ""Академическое""";"40703810400020000116";"500"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ПКФ ""Индиго""";"40702810200020001594";"100"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"Закрытое акционерное общество ""Фатум""";"40702810100020001597";"75"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""КЦ ""ТРИУМФ""";"40702810000020001600";"200"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"Общество с ограниченной ответственностью ""Тюменское экологическое объединение""";"40702810300020001601";"3025"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"Акционерное общество ""Тепло Тюмени""";"40702810500020001618";"4550"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"Акционерное общество ""Ямалэкосервис""";"40702810200020001620";"350"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ТЮМЕНЬАГРОМЕЛЬМОНТАЖ""";"40702810600020001204";"200"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ШВЕЙНЫЙ САЛОН ""АНГЕЛ""";"40702810500020001210";"250"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"СРО АЭ ""ЭНЕРГОЭФФЕКТИВНОСТЬ""";"40703810500020000087";"175"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ПРОЕКТ-СЕРВИС""";"40702810000020001228";"275"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ТЮМЕНЬТРАНСАВТО""";"40702810700020001227";"175"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""КОРПОРАЦИЯ СТС""";"40702810300020001229";"3175"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""АТБ""";"40702810600020001246";"225"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ЗАО ""ПРОСТЫЕ РЕШЕНИЯ""";"40821810700020000002";"575"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ПРОФСЕРВИС""";"40702810400020001284";"275"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""АВТО АС""";"40702810300020001300";"1625"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ЗАО ""СНП-ЦЕНТР""";"40702810500020001304";"325"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ГРЭЙД""";"40702810800020001305";"50"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""АВТОЛОМБАРД ""УРАЛАВТО""";"40702810000020001325";"350"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"АО ""ЯМАЛКОММУНЭНЕРГО""";"40702810200020001329";"3575"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"АО ""ЕРИЦ ЯНАО""";"40702810600020001330";"450"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ЭНЕРГОСБЕРЕЖЕНИЕ ЗАПАДНОЙ СИБИРИ""";"40702810900020001328";"275"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ЗДОРОВЬЕ +""";"40702810900020001331";"2225"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ПИРАМИДА-М""";"40702810300020001339";"400"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ТУРПУТЕВКА""";"40702810900020001344";"2125"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ГОРОДСКИЕ ЗРЕЛИЩНЫЕ КАССЫ""";"40702810100020001351";"3575"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""СИБИРСКО-УРАЛЬСКИЙ СЕРВИСНЫЙ ХОЛДИНГ""";"40702810600020001372";"200"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""КТ""";"40702810700020001382";"825"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ЭСК ЭНЕРГОДЖИНН""";"40702810600020001385";"200"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""СМУ-111""";"40702810800020001389";"2050"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""МЕГАГРУПП""";"40702810900020001399";"2825"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ЦКР ""В2В""";"40702810700020001405";"175"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"АНО ДПО ""МЕЖРЕГИОНАЛЬНЫЙ УЦ ""СТАТУС""";"40703810800020000101";"425"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""ДАГАЗ""";"40702810900020001425";"100"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""АЛЬЯНС-ГРУПП""";"40702810600020001424";"1325"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ТЮМЕНЬЭНЕРГОСБЫТ- ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ ""ВОСТОК""";"40702810900020001441";"101800"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ЭНЕРГОУЧЕТ ТЮМЕНЬ- ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ ""ВОСТОК""";"40702810800020001444";"2800"
"Тюменский филиал АО КБ ""АГРОПРОMКРЕДИТ""";"ООО ""СПЕЦТЕХТОРГ""";"40702810000020001435";"2100"
